office matters  办公室事宜,
transportation ( air,"Ocean, Land) 交通运输"
appointment 约会，约定,
accelerate 加速；促进；前进,
buckle up 系安全带,
cargo 货物,
directory 人名住址薄,
convertible 敞篷车,
crash landing 迫降,
filing 归档,
ground crew 地勤人员 .,
jaywalk 不遵守交通规则穿越马路；闯红灯,
launch 发射；开始,
navigate 航行；驾驶,
punctualit 准时；守时,
pilot 飞行员,
staff 全体职员,
subway 地铁 （注意区分,
highway,
metro,
taxicab 计程车,
transit 运输；通过,
assignment 分配；工作，分派,
acrophobia 恐高症,
bulletin 公报；告示；定期报告书,
airliner 大型客机,
aviation 飞行；航空学,
cabin 小屋；客舱；机舱,
commuter 通勤者,
conveyance 运输；交通工具,
extension 分机（电话）；延期,
crossroads 十字路口,
ferry 渡轮,
memo 便条；便笺；备忘录,
freight 货运；货物,
operator 接线生,
intersection n. 交叉；十字路口；交集；交叉点,
overtime 加班的时间,
jeopardy 风险；危险；危难,
portfolio 作品夹，公事包,
life vest 救生衣,
printed matter 印刷品,
pedestrian 行人；步行者,
receptionist 接待员,
restriction 限制；约束,
secretary 秘书,
runway 飞机跑道,
shorthand 速记，速记法,
shortcut 近路；捷径,
stapler 订书机,
take off 起飞,
tardy 迟缓；迟到的；迟延的,
timetable 时间表；时刻表,
typist 打字员,
transport 运输；交通工具；运输系,
xerox 影印,
via 经由；借由,
shopping 购物,
refund 退款；退还；赔偿,
affordable 负担的起的,
replacement 代替；替换,
bazaar 市场；集市,
retailer 零售商,
client 顾客；委托人,
shopping mall 大型购物中心,
customer 顾客；客户,
thrift 节俭；节约,
discount 折扣,
vender 小贩,
distributor 供应商；经销商,
warranty 保证；保证书,
expiration 终结；期满,
workmanship 技巧；手艺,
itemize 详细列举；分条列举,
dinning out 在外就餐（）,
latest 最新的,
alcohol 酒精,
neon sign 霓虹灯招牌,
appetite 胃口，食欲,
pickpocket 扒手,
artificial 人造的；仿真的,
pushcart 手推车,
bland 淡而无味的；温和的；无刺激性的,
receipt 收据,
chef 主厨；大厨,
reimburse 偿还；补偿,
crave 渴望,
request 请求；要求,
delicacy 佳肴,
sample 样品；样本,
digest 消化,
solicit 请求；恳求；祈求,
fragrant 有香味的；芳香的,
trendy 时髦的；流行的,
ingredient 成分；配料；配方,
